sound,where_it_fires_in_the_game,on_screen_text,ideal_duration,priority,status,notes_for_luis
Ship's bell - a new day,"The round boundary. The ribbon flips to DAY 2, DAY 3 and so on. Fires once per round, every round.",,0.6-1.2s,Must have,LUIS - nothing free exists,"Two full rounds of searching free libraries turned up a cowbell, a bell tree, a waiter's desk bell and church bell-ringers. None is a ship's bell hung in a rolling sea. Keep it SHORT and quiet with little tail: this is the most frequently heard cue in the game and anything ringing out will wear thin by day six. One clear strike, not a peal."
Your turn,"Announces to the player that it is their own turn to sail. Personal, and distinct from the ship's bell above.",,0.5-1.2s,Must have,LUIS - nothing free exists,"A bosun's pipe or whistle is what this wants - the sound a real crew is called by. Free libraries only offered industrial steam whistles and folk-festival horns, all rejected. Its whole job is to reach the player when they have looked away from the screen, so it needs to cut through without being an alarm. NOTE: Wyatt still has to rule on whether this plays for one player only, which breaks a standing game rule."
Drumroll,"The final beat of the whole voyage. The board pulls back for a last look, the narration box types the word Drumroll, holds, fades, and the gold winner banner appears.",Drumroll...,2.55s EXACTLY,Must have,LUIS - nothing free exists,"The single most valuable sound on this list. The moment is already built, staged and timed in the game and is currently completely silent. The 2.55s is measured, not estimated: the narration box holds every line for a minimum of 2550ms and this line takes exactly that floor. Accelerating roll with a rising crescendo, final hit landing right at the end so it resolves as the box fades into the winner reveal. Do not let it run long - anything past 2.55s gets cut off mid-roll."
Fight resolves - the hit,"The second half of a sea battle. A cannon fires to open it (already chosen), then this is the ball landing and the fight resolving.",the smoke clears and neither has a thing to show for it,0.5-1.2s,Must have,LUIS - three rounds of searching failed,"The hardest slot on the list. Wyatt rejected steel/swords (nobody in this game is fencing), then rejected cannon-on-hull and breaking timber as having NO ENERGY. His word. So the brief is impact and punch rather than accuracy - something you feel rather than identify. Worth trying a layered hit: timber crack plus debris plus a crew reaction. This retires battle-swords.mp3, which is currently distorted anyway."
"Bake-off - correct answer, set of 5","The bake-off is a shell game. Five covered bowls are shuffled and the player names them back in recipe order. Bowls lift one at a time, 520ms apart, in recipe order.",,0.4s or less each,Nice to have,LUIS - needs a matched SET,"This needs FIVE sounds, not one: a rising ladder, one step per correct bowl. The bowls deliberately lift one at a time so a run of three right before a miss lands dramatically - the climbing pitch is what makes that land. A single library note was picked as a placeholder but a purpose-built set of five is far better. This is the one place in the game where sound adds drama the visuals cannot."
Bake-off - the bowl lifts,"Each of the five bowls being lifted off the bench to reveal what is under it. 520ms apart, one at a time.",,0.6s or less,Nice to have,LUIS - two rounds of searching failed,"Drawers, cupboards, pots and card fans were all rejected. The insight that seems right: a bowl on a fairground bench is not opened, it is UNCOVERED. A cloth whipped away, or a light wooden lift. Must be quick and clean - it fires five times in a row and anything with a tail will smear into the next one."
Victory fanfare,"The player wins the voyage. Fires as the gold End of Voyage banner appears, straight after the drumroll.",,2-4s,Must have,"LUIS - optional upgrade, fill is in place","A crowd cheer from a library is currently standing in and is acceptable, so this is an upgrade rather than a blocker. But this is the most screenshotted moment in the game and it currently has no music to it. A short pirate fanfare - brass, or a shanty phrase - would be the single biggest lift. Note it plays right after the drumroll, so the two should feel like one continuous moment."
Cannon - the opening broadside,"A sea battle being joined. Fires the instant the fight starts, before any dice or flips.",ye load another broadside (-3 dubloons),0.8-1.5s,Must have,SETTLED from library,"Chosen: explosion_med_long_tail_01.wav (Gamemaster Audio). Included here so you can match the fight-resolve hit above to it - the two are one event, one beat apart."
Wind - the compass turns,The wind direction changes. The wind is the central mechanic of the whole game.,,1-2s,Must have,SETTLED from library,"Chosen: Designed Fire - Winds - Binaural swoosh (Gregor Quendel). A one-shot gust, deliberately NOT a loop - the looping wind lives in the sea bed below."
The sea - ambient bed,"Runs continuously underneath the entire game, well below everything else.",,15-30s seamless loop,Must have,SETTLED from library,"Chosen: Ocean Waves 2017 Kauai Night Waves. IF this is ever re-recorded: deliver loops as WAV so we can set exact loop points, and keep them short - a 20s bed with random one-shots scattered over it beats a long loop."
Seagulls - ambient scatter,Fired at random intervals over the sea bed so the ear never locks onto the loop.,,1-3s,Lower priority,SETTLED from library,"Chosen: four Seagull Ambient recordings, used as a set so they do not repeat predictably."
Rigging creak - ambient scatter,The other half of the ambient scatter. Random intervals over the sea bed.,,1-3s,Lower priority,SETTLED from library,Chosen: boat pulley swings plus wood door creaks.
Time running low - warning tick,The turn timer entering its final seconds.,,0.15-0.3s,Must have,SETTLED from library,Chosen: a clean high beep. Soft and repeating so the player feels time closing in.
Time up - the buzzer,The turn timer expiring. The turn is forfeit.,,0.6-1.2s,Must have,SETTLED from library,Chosen: a tight buzz. Must reach a player who has looked away from the screen.
The storm shoves your ship,A storm physically pushes ships across the board. Separate from the storm weather bed that announces the storm arriving.,,1s,Nice to have,SETTLED from library,"Chosen: Thunder Boom plus Thunder Crack, alternating."
The anchor bites,Dropping anchor in a storm so land brings the ship up short instead of being swept. A heroic moment.,,1.5-2.5s,Nice to have,SETTLED from library,Chosen: Heavy Chain foley on wood. Chain running out and timber taking the strain.
The ovens fire up,The player reaches Tortuga with a complete recipe and starts baking. The moment the whole game has been played for.,ye reach Tortuga with a full recipe and fire up the ovens! Now bake it right.,1-2s,Nice to have,SETTLED from library,Chosen: small firewood fire. The one sound in the game that should smell like a bakery rather than a ship.
Hailing the table,A captain shouts an open trade offer across the water to everyone.,ye hail the table: Who will give me sugar for two crates of flour?,1s,Nice to have,SETTLED from library,Chosen: a crowd murmur. Makes the table feel populated rather than turn-based.
A deal struck,A trade completes and goods change hands.,,0.7s,Nice to have,SETTLED from library,Chosen: coins jingling in a hand.
The coin lands,"The flip ceremony. The screen dims, a coin spins, and when it lands it shudders and flares gold. The spin already has a sound; this is the landing.",,0.4s,Nice to have,SETTLED from library,Chosen: a casino chip lay. The most theatrical single frame in the game.
"Bake-off - wrong answer, parrot squawk",The player names a bowl incorrectly during the bake-off.,,0.6s or less,Nice to have,SETTLED from library,"Chosen: a stressed macaw. Wyatt's own idea and the best one in the project - the parrot is the one voice on the ship allowed to editorialise, and a bad guess is exactly when you would hear from it."
Bake-off - the shuffle,Two bowls swapping places. Each swap takes a full second and there can be several in a row.,,1s,Nice to have,SETTLED from library,Chosen: kitchen cabinets dragging. It has to tell you a swap HAPPENED even if your eye lost it - that is the difference between a memory puzzle and an arbitrary one.
Bake-off - the verdict,"The result of the whole bake-off landing, after all five bowls are revealed.",,1.3s or less,Nice to have,SETTLED from library,"Chosen: a timpani hit. A sting, not a fanfare - the fanfare is saved for winning the voyage."
Bake-off - covers come down,"Five bowls being covered one after another at the start of the bake-off, 280ms apart.",,0.28s or less,Nice to have,SETTLED from library,"Chosen: light wood impact plus a book close, alternating across the five bowls."
Interface tap,Buttons and the radial prompt ring. Fires constantly throughout play.,,0.15s or less,Lower priority,SETTLED from library,Chosen: a soft click. Must be very quiet - at this frequency anything prominent becomes a nuisance fast.
Something in the water,The player looks out at the ocean and spots sea life.,looks into the ocean,1s,Lower priority,SETTLED from library,Chosen: a small water splash.
Blocked,The player cannot sail where they intended.,,0.4s,Lower priority,SETTLED from library,"Chosen: a heavy wood impact. A dull bump, deliberately unsatisfying."
